FLIGHT,MAINTENANCE
00055a,14
006042,4
0192d1,8
01b892,13
01e2f1,10
0202b8,3
022f92,2
036b8c,11
036d23,12
03896c,9
03d505,10
03fde6,14
04a6ea,3
04b9f1,13
050610,1
05400a,7
054e96,4
05be12,4
05fd40,5
06b2f8,14
06c13f,4
071285,8
075564,8
08d31a,15
0994c9,7
09afac,10
0a0ef1,10
0a700d,13
0a967e,8
0ac31a,6
0b21a3,9
0c53a5,14
0c662d,15
0c846f,4
0cf450,6
0d68ca,7
0d91f7,10
0dc966,12
0dce9d,8
0dde83,13
0e0e09,7
0ec186,7
0f38f0,9
0f5186,1
0f83cf,15
103812,15
10a000,12
10d831,8
1118f7,14
11b02b,6
11f141,1
121f56,13
129497,11
12fcf6,6
136051,5
13d489,11
13d923,1
140a2b,6
14a598,7
150227,7
156f56,13
1574d2,6
15cbbc,14
15d58f,8
160c28,6
164214,12
166f57,11
17ce03,11
1808a6,14
18f83b,13
190466,3
1963e9,8
19905b,11
19a794,11
19bc59,12
19d121,14
19f7c6,14
1a2c5d,12
1aaf38,7
1b24cc,12
1b73f3,6
1ba8f6,10
1c0c0d,8
1c2153,9
1c5fd2,12
1c758f,5
1c793f,8
1cbbe5,11
1cd2ce,10
1cd5f5,13
1d9659,2
1e09e2,10
1e110d,15
1e5153,10
1ed49c,3
1edfd4,8
1f6b58,14
1f897d,8
20238a,10
20347b,12
2067c3,10
207719,10
20abb9,4
20bb0d,7
20d94e,6
2187aa,8
21e79d,6
229b14,13
230b58,12
23306c,7
2361dd,5
23a8fe,14
243169,13
248415,8
251cc5,9
2545b9,6
254973,12
25b29e,4
2639f2,6
266c1a,6
2733a2,12
27401f,3
277905,6
28764b,13
29c560,14
29e969,8
2a49b3,12
2ad521,10
2b2bed,9
2b3855,2
2b5d40,14
2bb828,3
2bc495,7
2bfcd1,2
2c2b29,12
2c42b2,11
2c5840,12
2ca287,4
2caf17,12
2cb2f1,14
2d1bbe,8
2d2956,7
2d515f,12
2d59e7,14
2dc5d0,9
2dc60d,7
2dc9a0,15
2e1692,11
2e4757,5
2e56e0,15
2e8e50,11
2ec8d6,8
2fbb08,8
2fe999,12
305cdc,2
307913,3
307ad8,12
30bb7d,12
30d4b6,13
30f0c1,9
312a60,13
31601d,14
316f3e,15
31918c,8
322a54,4
32986a,1
32a118,11
32c7d1,4
331144,4
34b6ca,10
352500,14
3548e9,13
354f63,8
359b42,12
35f49c,1
3603a2,13
362148,8
3629ff,12
36bd47,8
3796cf,14
37bc97,3
37eb30,14
38965c,6
390f42,8
39567b,6
396ed1,5
399d41,2
39a714,11
3a1abe,8
3ab2a8,10
3ab557,14
3ae5ca,4
3b12a2,10
3b7c42,2
3bcb7c,6
3bde46,2
3bfaf6,8
3c43d6,15
3cc645,12
3cc937,13
3cf541,9
3d1382,9
3e126d,10
3e7e45,9
3eb324,8
3f52d9,4
3f6605,3
3f7bc4,7
401261,8
4026b4,3
404796,4
408f5c,13
40d598,13
40da37,15
41b8e2,6
424eb8,13
425d3b,12
42c1a8,10
42c947,6
437fb9,14
4380d3,7
43ee74,8
44406b,4
4476d7,12
447f94,2
44f601,5
4503eb,8
454b5e,8
455fe9,14
4561c3,13
456204,7
456bc8,5
4636af,4
465862,10
46659e,4
46812c,13
471402,12
472452,11
472494,9
476576,10
485fb2,13
485fd6,13
486c73,3
488091,7
48a76a,13
48c63b,6
4917d3,2
497a78,14
49905d,15
49d0d2,11
4a02c9,2
4a1494,15
4a27d4,15
4ab258,9
4b0715,15
4bbb19,2
4c83f3,13
4ce22f,3
4d2a06,1
4d49ab,14
4d7992,6
