FLIGHT,MAINTENANCE
00f1a7,15
01f0e6,14
027fcc,7
02c4ca,11
03ca50,8
046be8,13
056f84,4
06272f,4
06c0df,7
06f487,12
083535,1
085ef1,10
086e4a,4
09bf0c,11
0ac0a1,13
0aca37,10
0c6333,15
0d6c3a,7
0dbf94,6
0e61ca,14
0ea9e7,8
0ef2b2,14
0fb397,13
1083e6,11
11ff8b,2
12d014,1
1601ca,6
16b5e1,4
16e7f5,9
17d351,7
18850e,6
18b966,7
194084,4
196072,9
1a8136,11
1b110a,10
1c1cbe,9
1c8316,15
1caca2,7
1ce344,6
1ce6e1,11
1d1fea,8
1e2cdd,8
1ed821,8
1f5e43,15
1f9012,15
20a670,11
21a675,14
236d83,15
239fa4,7
252bb2,7
257cfb,13
26c186,9
2725a8,2
2756ed,9
27ca45,7
286842,14
288486,6
289097,7
28913a,1
289e60,5
28d12f,15
29d774,10
29f8a1,10
2cae3b,8
2d73d8,1
2d7e59,11
2db8f9,11
2dda7e,2
2df32a,6
2e8057,14
2f07c6,15
2f3541,11
2f8765,3
31bbb3,8
31c5ad,11
31d210,8
35489f,7
356cd8,3
35b1c8,9
35c7da,10
365531,11
368268,14
374bff,3
37753d,13
37c135,11
37e385,4
386503,15
38c49d,14
39a317,15
3a2399,12
3a2b53,3
3a837c,11
3a8ef1,1
3bcf65,6
3c6d7b,11
3c9f5c,4
3cbe5a,6
3d191d,6
3d3bc7,12
3e8f69,4
3ee480,2
3f05d0,11
40cc41,13
420cb8,5
4299c9,4
4393f5,5
43d43b,11
459509,1
46bfd7,1
47e2e4,2
488cc5,10
489660,1
49cf60,4
4a02af,5
4a5b3a,7
4a6c1f,6
4bfe1e,1
4c07c4,3
4c3af3,8
4d3804,7
4e2201,2
4f45eb,4
50b166,4
529e74,4
535695,2
53c945,9
53d4dd,14
545495,1
55c6b8,13
56c341,8
57294d,2
57d66b,12
5808ac,2
580ec7,9
589816,12
59225e,8
593a98,4
59f70d,13
5af3da,9
5b0dd8,14
5b39aa,8
5b4076,2
5c27ae,14
5e24f3,14
5e555d,10
5ee29e,10
5f6b9a,15
60668c,11
607c4d,1
60d555,3
616d17,7
621d96,15
623c28,15
625920,1
62b272,5
635228,3
635abd,9
644bf4,2
653447,3
65cc2c,15
661c41,2
664c2c,4
67300d,8
676420,14
67ff5a,11
6868bb,5
68c549,5
69247a,9
692912,1
6a86c9,14
6a913c,9
6abe55,9
6ae74e,3
6b56ea,12
6b59b6,1
6cf5e2,10
6d7615,6
6d7773,14
6d9f15,9
6dc7ed,11
6e76ad,4
6ebfc1,3
6ecdca,5
6f5766,4
700520,9
701929,4
70d091,4
70d18b,8
713b04,12
714eff,6
730cb0,2
7374a4,13
74d991,8
74e67f,8
7598bc,1
76b154,7
78df69,6
78ebba,6
796966,3
7a4a86,10
7a780e,12
7bebc2,1
7d4a2b,2
7f0167,13
7f1758,3
7f21fe,1
7f518f,14
7fa369,2
8013ab,5
80e8e0,11
811c26,11
816d93,2
825e85,5
82b032,3
835b3b,5
837357,2
843ec2,7
84de82,5
84eaf1,5
8502d5,10
86d8ee,2
86e7c8,6
8701b2,3
87edeb,1
885879,1
88c38c,4
8920c6,7
89802a,8
89944f,3
89acfa,13
8a2d7f,8
8a4cd9,8
8b951f,3
8b9a59,11
8bb47a,8
8ce912,15
8cea20,10
8d0536,10
8d0830,2
8dbfb9,7
8e4d8a,4
8e7dc6,14
8f461d,7
8fa2ee,7
8fc8ce,7
907158,8
909349,3
91516b,8
928e1d,3
9298be,10
92d62e,2
9393fb,11
959d77,5
95cefc,7
963d4b,8
96a440,3
97161f,9
977960,1
97ffd5,5
98309f,3
98adfa,7
9a0555,9
9a3bf0,7
9c1145,12
